INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb_mean_float.cpp in debug mode
   Compiling ../../../mean_float.cpp in debug mode
   Generating csim.exe
Entrada: 0.50297
Entrada: 0.844219
Entrada: 0.785068
Entrada: 0.557512
Entrada: 0.579347
Entrada: 0.685243
Entrada: 0.855325
Entrada: 0.928121
Entrada: 0.575903
Entrada: 0.810418
Entrada: 0.604949
Entrada: 0.752176
Entrada: 0.790916
Entrada: 0.870275
Entrada: 0.69107
Entrada: 0.634023
Entrada: 0.62136
Entrada: 0.890394
Entrada: 0.795537
Entrada: 0.771942
Entrada: 0.738411
Entrada: 0.833374
Entrada: 0.963246
Entrada: 0.877415
Entrada: 0.61157
Entrada: 0.899308
Entrada: 0.891926
Entrada: 0.704682
Entrada: 0.703763
Entrada: 0.724796
Entrada: 0.660466
Entrada: 0.850518
Entrada: 0.502564
Entrada: 0.53463
Entrada: 0.739632
Entrada: 0.917156
Entrada: 0.735024
Entrada: 0.535252
Entrada: 0.722163
Entrada: 0.514011
Entrada: 0.624493
Entrada: 0.762968
Entrada: 0.67698
Entrada: 0.565744
Entrada: 0.502984
Entrada: 0.56221
Entrada: 0.882127
Entrada: 0.689552
Entrada: 0.646224
Entrada: 0.7924
Entrada: 0.668561
Entrada: 0.855847
Entrada: 0.939921
Entrada: 0.744316
Entrada: 0.543387
Entrada: 0.949551
Entrada: 0.827722
Entrada: 0.513069
Entrada: 0.90913
Entrada: 0.642911
Entrada: 0.807477
Entrada: 0.994944
Entrada: 0.553113
Entrada: 0.761815
Entrada: 0.620409
Entrada: 0.59014
Entrada: 0.768022
Entrada: 0.757368
Entrada: 0.758023
Entrada: 0.935847
Entrada: 0.862759
Entrada: 0.63254
Entrada: 0.522594
Entrada: 0.613109
Entrada: 0.91285
Entrada: 0.694236
Entrada: 0.710564
Entrada: 0.673947
Entrada: 0.870925
Entrada: 0.695696
Entrada: 0.916627
Entrada: 0.971327
Entrada: 0.710152
Entrada: 0.996281
Entrada: 0.747838
Entrada: 0.618997
Entrada: 0.862357
Entrada: 0.969833
Entrada: 0.688297
Entrada: 0.785099
Entrada: 0.92263
Entrada: 0.701749
Entrada: 0.521721
Entrada: 0.888968
Entrada: 0.876379
Entrada: 0.539584
Entrada: 0.86617
Entrada: 0.607405
Entrada: 0.989542
Entrada: 0.893596
Entrada: 0.540466
Entrada: 0.841131
Entrada: 0.75625
Entrada: 0.844449
Entrada: 0.989571
Entrada: 0.796282
Entrada: 0.916952
Entrada: 0.876789
Entrada: 0.76101
Entrada: 0.710885
Entrada: 0.629776
Entrada: 0.698165
Entrada: 0.923075
Entrada: 0.716024
Entrada: 0.825853
Entrada: 0.943737
Entrada: 0.546147
Entrada: 0.530377
Entrada: 0.97933
Entrada: 0.625001
Entrada: 0.84187
Se sumaron todas las muestras? 1
Promedio esperado: 0.754107, Promedio obtenido: 0.754107
Testbench Completado con exito
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
