INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb_rect_float.cpp in debug mode
   Compiling ../../../rect_float.cpp in debug mode
   Generating csim.exe
Entrada: -0.568504, Resultado esperado: 0.568504, Resultado obtenido: 0.568504
Entrada: -0.708163, Resultado esperado: 0.708163, Resultado obtenido: 0.708163
Entrada: -0.686316, Resultado esperado: 0.686316, Resultado obtenido: 0.686316
Entrada: -0.65656, Resultado esperado: 0.65656, Resultado obtenido: 0.65656
Entrada: -0.650312, Resultado esperado: 0.650312, Resultado obtenido: 0.650312
Entrada: -0.965691, Resultado esperado: 0.965691, Resultado obtenido: 0.965691
Entrada: -0.652702, Resultado esperado: 0.652702, Resultado obtenido: 0.652702
Entrada: -0.551748, Resultado esperado: 0.551748, Resultado obtenido: 0.551748
Entrada: -0.732546, Resultado esperado: 0.732546, Resultado obtenido: 0.732546
Entrada: -0.76456, Resultado esperado: 0.76456, Resultado obtenido: 0.76456
Entrada: -0.651201, Resultado esperado: 0.651201, Resultado obtenido: 0.651201
Entrada: -0.94301, Resultado esperado: 0.94301, Resultado obtenido: 0.94301
Entrada: -0.52675, Resultado esperado: 0.52675, Resultado obtenido: 0.52675
Entrada: -0.988078, Resultado esperado: 0.988078, Resultado obtenido: 0.988078
Entrada: -0.554086, Resultado esperado: 0.554086, Resultado obtenido: 0.554086
Entrada: -0.988749, Resultado esperado: 0.988749, Resultado obtenido: 0.988749
Entrada: -0.618192, Resultado esperado: 0.618192, Resultado obtenido: 0.618192
Entrada: -0.773237, Resultado esperado: 0.773237, Resultado obtenido: 0.773237
Entrada: -0.627799, Resultado esperado: 0.627799, Resultado obtenido: 0.627799
Entrada: -0.969369, Resultado esperado: 0.969369, Resultado obtenido: 0.969369
Entrada: -0.798366, Resultado esperado: 0.798366, Resultado obtenido: 0.798366
Entrada: -0.866216, Resultado esperado: 0.866216, Resultado obtenido: 0.866216
Entrada: -0.940088, Resultado esperado: 0.940088, Resultado obtenido: 0.940088
Entrada: -0.831104, Resultado esperado: 0.831104, Resultado obtenido: 0.831104
Entrada: -0.925691, Resultado esperado: 0.925691, Resultado obtenido: 0.925691
Entrada: -0.662923, Resultado esperado: 0.662923, Resultado obtenido: 0.662923
Entrada: -0.679764, Resultado esperado: 0.679764, Resultado obtenido: 0.679764
Entrada: -0.5666, Resultado esperado: 0.5666, Resultado obtenido: 0.5666
Entrada: -0.800608, Resultado esperado: 0.800608, Resultado obtenido: 0.800608
Entrada: -0.985559, Resultado esperado: 0.985559, Resultado obtenido: 0.985559
Entrada: -0.601102, Resultado esperado: 0.601102, Resultado obtenido: 0.601102
Entrada: -0.712326, Resultado esperado: 0.712326, Resultado obtenido: 0.712326
Entrada: -0.565996, Resultado esperado: 0.565996, Resultado obtenido: 0.565996
Entrada: -0.96065, Resultado esperado: 0.96065, Resultado obtenido: 0.96065
Entrada: -0.675939, Resultado esperado: 0.675939, Resultado obtenido: 0.675939
Entrada: -0.97937, Resultado esperado: 0.97937, Resultado obtenido: 0.97937
Entrada: -0.806046, Resultado esperado: 0.806046, Resultado obtenido: 0.806046
Entrada: -0.639865, Resultado esperado: 0.639865, Resultado obtenido: 0.639865
Entrada: -0.820469, Resultado esperado: 0.820469, Resultado obtenido: 0.820469
Entrada: -0.986524, Resultado esperado: 0.986524, Resultado obtenido: 0.986524
Entrada: -0.779472, Resultado esperado: 0.779472, Resultado obtenido: 0.779472
Entrada: -0.709386, Resultado esperado: 0.709386, Resultado obtenido: 0.709386
Entrada: -0.92174, Resultado esperado: 0.92174, Resultado obtenido: 0.92174
Entrada: -0.527277, Resultado esperado: 0.527277, Resultado obtenido: 0.527277
Entrada: -0.512176, Resultado esperado: 0.512176, Resultado obtenido: 0.512176
Entrada: -0.607102, Resultado esperado: 0.607102, Resultado obtenido: 0.607102
Entrada: -0.60307, Resultado esperado: 0.60307, Resultado obtenido: 0.60307
Entrada: -0.965065, Resultado esperado: 0.965065, Resultado obtenido: 0.965065
Entrada: -0.923363, Resultado esperado: 0.923363, Resultado obtenido: 0.923363
Entrada: -0.809112, Resultado esperado: 0.809112, Resultado obtenido: 0.809112
Entrada: -0.604138, Resultado esperado: 0.604138, Resultado obtenido: 0.604138
Entrada: -0.986763, Resultado esperado: 0.986763, Resultado obtenido: 0.986763
Entrada: -0.610879, Resultado esperado: 0.610879, Resultado obtenido: 0.610879
Entrada: -0.778624, Resultado esperado: 0.778624, Resultado obtenido: 0.778624
Entrada: -0.509284, Resultado esperado: 0.509284, Resultado obtenido: 0.509284
Entrada: -0.595605, Resultado esperado: 0.595605, Resultado obtenido: 0.595605
Entrada: -0.552189, Resultado esperado: 0.552189, Resultado obtenido: 0.552189
Entrada: -0.972269, Resultado esperado: 0.972269, Resultado obtenido: 0.972269
Entrada: -0.987992, Resultado esperado: 0.987992, Resultado obtenido: 0.987992
Entrada: -0.702116, Resultado esperado: 0.702116, Resultado obtenido: 0.702116
Entrada: -0.519749, Resultado esperado: 0.519749, Resultado obtenido: 0.519749
Entrada: -0.916153, Resultado esperado: 0.916153, Resultado obtenido: 0.916153
Entrada: -0.720484, Resultado esperado: 0.720484, Resultado obtenido: 0.720484
Entrada: -0.716636, Resultado esperado: 0.716636, Resultado obtenido: 0.716636
Entrada: -0.562733, Resultado esperado: 0.562733, Resultado obtenido: 0.562733
Entrada: -0.792807, Resultado esperado: 0.792807, Resultado obtenido: 0.792807
Entrada: -0.754255, Resultado esperado: 0.754255, Resultado obtenido: 0.754255
Entrada: -0.607514, Resultado esperado: 0.607514, Resultado obtenido: 0.607514
Entrada: -0.581584, Resultado esperado: 0.581584, Resultado obtenido: 0.581584
Entrada: -0.55238, Resultado esperado: 0.55238, Resultado obtenido: 0.55238
Entrada: -0.88983, Resultado esperado: 0.88983, Resultado obtenido: 0.88983
Entrada: -0.976299, Resultado esperado: 0.976299, Resultado obtenido: 0.976299
Entrada: -0.923093, Resultado esperado: 0.923093, Resultado obtenido: 0.923093
Entrada: -0.65905, Resultado esperado: 0.65905, Resultado obtenido: 0.65905
Entrada: -0.849181, Resultado esperado: 0.849181, Resultado obtenido: 0.849181
Entrada: -0.633901, Resultado esperado: 0.633901, Resultado obtenido: 0.633901
Entrada: -0.577186, Resultado esperado: 0.577186, Resultado obtenido: 0.577186
Entrada: -0.735487, Resultado esperado: 0.735487, Resultado obtenido: 0.735487
Entrada: -0.958595, Resultado esperado: 0.958595, Resultado obtenido: 0.958595
Entrada: -0.782611, Resultado esperado: 0.782611, Resultado obtenido: 0.782611
Entrada: -0.708403, Resultado esperado: 0.708403, Resultado obtenido: 0.708403
Entrada: -0.904331, Resultado esperado: 0.904331, Resultado obtenido: 0.904331
Entrada: -0.554434, Resultado esperado: 0.554434, Resultado obtenido: 0.554434
Entrada: -0.974937, Resultado esperado: 0.974937, Resultado obtenido: 0.974937
Entrada: -0.501378, Resultado esperado: 0.501378, Resultado obtenido: 0.501378
Entrada: -0.524771, Resultado esperado: 0.524771, Resultado obtenido: 0.524771
Entrada: -0.784326, Resultado esperado: 0.784326, Resultado obtenido: 0.784326
Entrada: -0.786829, Resultado esperado: 0.786829, Resultado obtenido: 0.786829
Entrada: -0.657216, Resultado esperado: 0.657216, Resultado obtenido: 0.657216
Entrada: -0.991486, Resultado esperado: 0.991486, Resultado obtenido: 0.991486
Entrada: -0.905176, Resultado esperado: 0.905176, Resultado obtenido: 0.905176
Entrada: -0.815352, Resultado esperado: 0.815352, Resultado obtenido: 0.815352
Entrada: -0.901582, Resultado esperado: 0.901582, Resultado obtenido: 0.901582
Entrada: -0.593052, Resultado esperado: 0.593052, Resultado obtenido: 0.593052
Entrada: -0.862812, Resultado esperado: 0.862812, Resultado obtenido: 0.862812
Entrada: -0.84441, Resultado esperado: 0.84441, Resultado obtenido: 0.84441
Entrada: -0.662256, Resultado esperado: 0.662256, Resultado obtenido: 0.662256
Entrada: -0.641798, Resultado esperado: 0.641798, Resultado obtenido: 0.641798
Entrada: -0.755281, Resultado esperado: 0.755281, Resultado obtenido: 0.755281
Entrada: -0.748053, Resultado esperado: 0.748053, Resultado obtenido: 0.748053
Entrada: -0.53557, Resultado esperado: 0.53557, Resultado obtenido: 0.53557
Entrada: -0.589839, Resultado esperado: 0.589839, Resultado obtenido: 0.589839
Entrada: -0.989747, Resultado esperado: 0.989747, Resultado obtenido: 0.989747
Entrada: -0.684646, Resultado esperado: 0.684646, Resultado obtenido: 0.684646
Entrada: -0.867505, Resultado esperado: 0.867505, Resultado obtenido: 0.867505
Entrada: -0.88207, Resultado esperado: 0.88207, Resultado obtenido: 0.88207
Entrada: -0.88375, Resultado esperado: 0.88375, Resultado obtenido: 0.88375
Entrada: -0.546281, Resultado esperado: 0.546281, Resultado obtenido: 0.546281
Entrada: -0.752836, Resultado esperado: 0.752836, Resultado obtenido: 0.752836
Entrada: -0.817335, Resultado esperado: 0.817335, Resultado obtenido: 0.817335
Entrada: -0.866666, Resultado esperado: 0.866666, Resultado obtenido: 0.866666
Entrada: -0.719311, Resultado esperado: 0.719311, Resultado obtenido: 0.719311
Entrada: -0.522829, Resultado esperado: 0.522829, Resultado obtenido: 0.522829
Entrada: -0.627103, Resultado esperado: 0.627103, Resultado obtenido: 0.627103
Entrada: -0.502586, Resultado esperado: 0.502586, Resultado obtenido: 0.502586
Entrada: -0.765367, Resultado esperado: 0.765367, Resultado obtenido: 0.765367
Entrada: -0.85028, Resultado esperado: 0.85028, Resultado obtenido: 0.85028
Entrada: -0.974083, Resultado esperado: 0.974083, Resultado obtenido: 0.974083
Entrada: -0.670703, Resultado esperado: 0.670703, Resultado obtenido: 0.670703
Entrada: -0.721851, Resultado esperado: 0.721851, Resultado obtenido: 0.721851
Entrada: -0.846373, Resultado esperado: 0.846373, Resultado obtenido: 0.846373
Entrada: -0.926689, Resultado esperado: 0.926689, Resultado obtenido: 0.926689
Entrada: -0.992162, Resultado esperado: 0.992162, Resultado obtenido: 0.992162
Entrada: -0.783785, Resultado esperado: 0.783785, Resultado obtenido: 0.783785
Entrada: -0.573305, Resultado esperado: 0.573305, Resultado obtenido: 0.573305
Entrada: -0.630735, Resultado esperado: 0.630735, Resultado obtenido: 0.630735
Entrada: -0.568724, Resultado esperado: 0.568724, Resultado obtenido: 0.568724
Entrada: -0.816168, Resultado esperado: 0.816168, Resultado obtenido: 0.816168
Entrada: -0.931114, Resultado esperado: 0.931114, Resultado obtenido: 0.931114
Entrada: -0.661855, Resultado esperado: 0.661855, Resultado obtenido: 0.661855
Entrada: -0.919768, Resultado esperado: 0.919768, Resultado obtenido: 0.919768
Entrada: -0.660269, Resultado esperado: 0.660269, Resultado obtenido: 0.660269
Entrada: -0.577198, Resultado esperado: 0.577198, Resultado obtenido: 0.577198
Entrada: -0.523108, Resultado esperado: 0.523108, Resultado obtenido: 0.523108
Entrada: -0.850135, Resultado esperado: 0.850135, Resultado obtenido: 0.850135
Entrada: -0.89701, Resultado esperado: 0.89701, Resultado obtenido: 0.89701
Entrada: -0.813238, Resultado esperado: 0.813238, Resultado obtenido: 0.813238
Entrada: -0.758427, Resultado esperado: 0.758427, Resultado obtenido: 0.758427
Entrada: -0.766841, Resultado esperado: 0.766841, Resultado obtenido: 0.766841
Entrada: -0.8213, Resultado esperado: 0.8213, Resultado obtenido: 0.8213
Entrada: -0.692492, Resultado esperado: 0.692492, Resultado obtenido: 0.692492
Entrada: -0.867256, Resultado esperado: 0.867256, Resultado obtenido: 0.867256
Entrada: -0.790844, Resultado esperado: 0.790844, Resultado obtenido: 0.790844
Entrada: -0.780029, Resultado esperado: 0.780029, Resultado obtenido: 0.780029
Entrada: -0.677707, Resultado esperado: 0.677707, Resultado obtenido: 0.677707
Entrada: -0.519655, Resultado esperado: 0.519655, Resultado obtenido: 0.519655
Entrada: -0.796992, Resultado esperado: 0.796992, Resultado obtenido: 0.796992
Entrada: -0.772579, Resultado esperado: 0.772579, Resultado obtenido: 0.772579
Entrada: -0.901826, Resultado esperado: 0.901826, Resultado obtenido: 0.901826
Entrada: -0.859168, Resultado esperado: 0.859168, Resultado obtenido: 0.859168
Entrada: -0.712272, Resultado esperado: 0.712272, Resultado obtenido: 0.712272
Entrada: -0.630535, Resultado esperado: 0.630535, Resultado obtenido: 0.630535
Entrada: -0.579574, Resultado esperado: 0.579574, Resultado obtenido: 0.579574
Entrada: -0.649749, Resultado esperado: 0.649749, Resultado obtenido: 0.649749
Entrada: -0.51999, Resultado esperado: 0.51999, Resultado obtenido: 0.51999
Entrada: -0.666678, Resultado esperado: 0.666678, Resultado obtenido: 0.666678
Entrada: -0.955299, Resultado esperado: 0.955299, Resultado obtenido: 0.955299
Entrada: -0.677787, Resultado esperado: 0.677787, Resultado obtenido: 0.677787
Entrada: -0.841865, Resultado esperado: 0.841865, Resultado obtenido: 0.841865
Entrada: -0.936288, Resultado esperado: 0.936288, Resultado obtenido: 0.936288
Entrada: -0.557175, Resultado esperado: 0.557175, Resultado obtenido: 0.557175
Entrada: -0.969622, Resultado esperado: 0.969622, Resultado obtenido: 0.969622
Entrada: -0.504901, Resultado esperado: 0.504901, Resultado obtenido: 0.504901
Entrada: -0.873234, Resultado esperado: 0.873234, Resultado obtenido: 0.873234
Entrada: -0.739654, Resultado esperado: 0.739654, Resultado obtenido: 0.739654
Entrada: -0.765165, Resultado esperado: 0.765165, Resultado obtenido: 0.765165
Entrada: -0.697356, Resultado esperado: 0.697356, Resultado obtenido: 0.697356
Entrada: -0.616018, Resultado esperado: 0.616018, Resultado obtenido: 0.616018
Entrada: -0.793462, Resultado esperado: 0.793462, Resultado obtenido: 0.793462
Entrada: -0.590944, Resultado esperado: 0.590944, Resultado obtenido: 0.590944
Entrada: -0.526842, Resultado esperado: 0.526842, Resultado obtenido: 0.526842
Entrada: -0.541401, Resultado esperado: 0.541401, Resultado obtenido: 0.541401
Entrada: -0.946752, Resultado esperado: 0.946752, Resultado obtenido: 0.946752
Entrada: -0.960109, Resultado esperado: 0.960109, Resultado obtenido: 0.960109
Entrada: -0.592726, Resultado esperado: 0.592726, Resultado obtenido: 0.592726
Entrada: -0.657118, Resultado esperado: 0.657118, Resultado obtenido: 0.657118
Entrada: -0.744766, Resultado esperado: 0.744766, Resultado obtenido: 0.744766
Entrada: -0.703727, Resultado esperado: 0.703727, Resultado obtenido: 0.703727
Entrada: -0.937408, Resultado esperado: 0.937408, Resultado obtenido: 0.937408
Entrada: -0.795614, Resultado esperado: 0.795614, Resultado obtenido: 0.795614
Entrada: -0.676632, Resultado esperado: 0.676632, Resultado obtenido: 0.676632
Entrada: -0.806714, Resultado esperado: 0.806714, Resultado obtenido: 0.806714
Entrada: -0.604982, Resultado esperado: 0.604982, Resultado obtenido: 0.604982
Entrada: -0.538114, Resultado esperado: 0.538114, Resultado obtenido: 0.538114
Entrada: -0.69179, Resultado esperado: 0.69179, Resultado obtenido: 0.69179
Entrada: -0.751182, Resultado esperado: 0.751182, Resultado obtenido: 0.751182
Entrada: -0.96389, Resultado esperado: 0.96389, Resultado obtenido: 0.96389
Entrada: -0.95088, Resultado esperado: 0.95088, Resultado obtenido: 0.95088
Entrada: -0.566819, Resultado esperado: 0.566819, Resultado obtenido: 0.566819
Entrada: -0.634707, Resultado esperado: 0.634707, Resultado obtenido: 0.634707
Entrada: -0.918993, Resultado esperado: 0.918993, Resultado obtenido: 0.918993
Entrada: -0.631799, Resultado esperado: 0.631799, Resultado obtenido: 0.631799
Entrada: -0.847998, Resultado esperado: 0.847998, Resultado obtenido: 0.847998
Entrada: -0.924751, Resultado esperado: 0.924751, Resultado obtenido: 0.924751
Entrada: -0.79559, Resultado esperado: 0.79559, Resultado obtenido: 0.79559
Entrada: -0.687367, Resultado esperado: 0.687367, Resultado obtenido: 0.687367
Entrada: -0.507359, Resultado esperado: 0.507359, Resultado obtenido: 0.507359
Entrada: -0.790895, Resultado esperado: 0.790895, Resultado obtenido: 0.790895
Entrada: -0.832258, Resultado esperado: 0.832258, Resultado obtenido: 0.832258
Entrada: -0.618553, Resultado esperado: 0.618553, Resultado obtenido: 0.618553
Entrada: -0.856828, Resultado esperado: 0.856828, Resultado obtenido: 0.856828
Entrada: -0.714556, Resultado esperado: 0.714556, Resultado obtenido: 0.714556
Entrada: -0.771213, Resultado esperado: 0.771213, Resultado obtenido: 0.771213
Entrada: -0.683177, Resultado esperado: 0.683177, Resultado obtenido: 0.683177
Entrada: -0.781484, Resultado esperado: 0.781484, Resultado obtenido: 0.781484
Entrada: -0.516149, Resultado esperado: 0.516149, Resultado obtenido: 0.516149
Entrada: -0.57589, Resultado esperado: 0.57589, Resultado obtenido: 0.57589
Entrada: -0.68238, Resultado esperado: 0.68238, Resultado obtenido: 0.68238
Entrada: -0.998296, Resultado esperado: 0.998296, Resultado obtenido: 0.998296
Entrada: -0.737216, Resultado esperado: 0.737216, Resultado obtenido: 0.737216
Entrada: -0.580316, Resultado esperado: 0.580316, Resultado obtenido: 0.580316
Entrada: -0.694575, Resultado esperado: 0.694575, Resultado obtenido: 0.694575
Entrada: -0.861262, Resultado esperado: 0.861262, Resultado obtenido: 0.861262
Entrada: -0.734246, Resultado esperado: 0.734246, Resultado obtenido: 0.734246
Entrada: -0.531708, Resultado esperado: 0.531708, Resultado obtenido: 0.531708
Entrada: -0.961418, Resultado esperado: 0.961418, Resultado obtenido: 0.961418
Entrada: -0.742848, Resultado esperado: 0.742848, Resultado obtenido: 0.742848
Entrada: -0.758214, Resultado esperado: 0.758214, Resultado obtenido: 0.758214
Entrada: -0.855875, Resultado esperado: 0.855875, Resultado obtenido: 0.855875
